TIME,R1,MYO1,R2,MYO2,APPARENT_07_21_RHO,APPARENT_35_21_RHO,CCR
0.0,141.592,0.296,211.158,0.005,6.228,6.191,4700.0
0.001,141.594,0.037,211.165,-0.148,6.228,6.192,4700.0
0.002,141.595,-0.106,211.173,-0.254,6.228,6.192,4700.0
0.003,141.597,-0.224,211.18,-0.613,6.228,6.192,4700.0
0.004,141.598,-0.27,211.188,-0.377,6.228,6.192,4700.0
0.005,141.6,0.142,211.195,0.565,6.228,6.193,4700.0
0.006,141.601,0.304,211.203,0.522,6.228,6.193,4700.0
0.007,141.603,0.037,211.21,0.153,6.228,6.193,4700.0
0.008,141.605,0.026,211.217,0.107,6.228,6.193,4700.0
0.009,141.606,-0.181,211.225,-0.065,6.228,6.193,4700.0
0.01,141.608,-0.097,211.231,0.015,6.228,6.194,4700.0
0.011,141.61,0.107,211.237,0.006,6.228,6.194,4700.0
0.012,141.612,-0.003,211.243,-0.294,6.228,6.194,4700.0
0.013,141.613,0.358,211.249,-0.208,6.228,6.194,4700.0
0.014,141.615,0.114,211.255,-0.09,6.229,6.194,4700.0
0.015,141.617,-0.516,211.261,-0.047,6.229,6.194,4700.0
0.016,141.619,-0.187,211.267,0.223,6.229,6.195,4700.0
0.017,141.621,0.118,211.273,0.329,6.229,6.195,4700.0
0.018,141.622,0.056,211.279,0.192,6.229,6.195,4700.0
0.019,141.624,0.221,211.285,0.121,6.229,6.195,4700.0
0.02,141.626,0.187,211.291,0.036,6.229,6.195,4700.0
0.021,141.628,0.016,211.298,-0.345,6.229,6.196,4700.0
0.022,141.63,0.075,211.304,-0.259,6.229,6.196,4700.0
0.023,141.632,-0.275,211.31,-0.035,6.229,6.196,4700.0
0.024,141.633,-0.385,211.317,-0.224,6.229,6.196,4700.0
0.025,141.635,0.07,211.323,0.221,6.229,6.196,4700.0
0.026,141.637,0.16,211.329,0.393,6.23,6.196,4700.0
0.027,141.639,0.195,211.335,0.022,6.23,6.197,4700.0
0.028,141.641,0.111,211.342,0.095,6.23,6.197,4700.0
0.029,141.643,-0.094,211.348,0.075,6.23,6.197,4700.0
0.03,141.646,-0.063,211.353,-0.055,6.23,6.197,4700.0
0.031,141.65,0.204,211.359,-0.045,6.23,6.197,4700.0
0.032,141.654,0.17,211.364,-0.08,6.23,6.198,4700.0
0.033,141.657,-0.346,211.37,-0.282,6.23,6.198,4700.0
0.034,141.661,-0.166,211.375,-0.201,6.231,6.198,4700.0
0.035,141.665,0.036,211.381,0.099,6.231,6.198,4700.0
0.036,141.669,-0.06,211.386,0.164,6.231,6.198,4700.0
0.037,141.672,0.179,211.392,0.308,6.231,6.198,4700.0
0.038,141.676,0.076,211.397,0.225,6.231,6.198,4700.0
0.039,141.68,0.07,211.403,0.054,6.231,6.199,4700.0
0.04,141.683,0.086,211.409,-0.066,6.232,6.199,4700.0
0.041,141.687,-0.072,211.416,-0.147,6.232,6.199,4700.0
0.042,141.69,-0.011,211.423,-0.064,6.232,6.199,4700.0
0.043,141.694,-0.217,211.43,-0.497,6.232,6.199,4700.0
0.044,141.697,-0.132,211.436,-0.25,6.232,6.2,4700.0
0.045,141.7,0.305,211.443,0.595,6.232,6.2,4700.0
0.046,141.704,0.182,211.45,0.288,6.232,6.2,4700.0
0.047,141.707,-0.046,211.457,0.045,6.233,6.2,4700.0
0.048,141.711,-0.043,211.463,0.089,6.233,6.2,4700.0
0.049,141.714,-0.136,211.47,-0.123,6.233,6.201,4700.0
0.05,141.72,-0.066,211.477,0.032,6.233,6.201,4700.0
0.051,141.726,-0.039,211.485,-0.061,6.233,6.201,4700.0
0.052,141.732,-0.027,211.492,-0.243,6.234,6.201,4700.0
0.053,141.738,0.445,211.499,-0.069,6.234,6.201,4700.0
0.054,141.744,0.146,211.507,-0.021,6.234,6.202,4700.0
0.055,141.75,-0.46,211.514,-0.014,6.234,6.202,4700.0
0.056,141.756,-0.089,211.521,0.13,6.235,6.202,4700.0
0.057,141.763,-0.028,211.528,0.194,6.235,6.202,4700.0
0.058,141.769,0.05,211.536,0.109,6.235,6.203,4700.0
0.059,141.775,0.207,211.543,0.149,6.236,6.203,4700.0
0.06,141.782,-0.021,211.552,0.015,6.236,6.203,4700.0
0.061,141.789,0.373,211.561,-0.017,6.236,6.203,4700.0
0.062,141.796,0.113,211.57,-0.004,6.237,6.204,4700.0
0.063,141.803,-0.737,211.579,-0.581,6.237,6.204,4700.0
0.064,141.81,-0.339,211.588,-0.312,6.237,6.204,4700.0
0.065,141.817,0.405,211.596,0.359,6.237,6.204,4700.0
0.066,141.824,0.324,211.605,0.245,6.238,6.205,4700.0
0.067,141.831,0.111,211.614,0.178,6.238,6.205,4700.0
0.068,141.838,-0.008,211.623,0.091,6.238,6.205,4700.0
0.069,141.845,-0.159,211.632,0.029,6.239,6.205,4700.0
0.07,141.859,-0.022,211.646,-0.062,6.239,6.206,4700.0
0.071,141.873,-0.377,211.661,-0.029,6.24,6.206,4700.0
0.072,141.887,-0.114,211.675,0.001,6.241,6.207,4700.0
0.073,141.902,0.591,211.689,-0.332,6.241,6.207,4700.0
0.074,141.916,0.102,211.703,-0.131,6.242,6.207,4700.0
0.075,141.93,0.102,211.718,0.201,6.242,6.208,4700.0
0.076,141.944,-0.115,211.732,0.172,6.243,6.208,4700.0
0.077,141.958,-0.425,211.746,0.105,6.244,6.209,4700.0
0.078,141.973,0.072,211.76,0.027,6.244,6.209,4700.0
0.079,141.987,0.041,211.775,0.039,6.245,6.21,4700.0
0.08,142.002,0.158,211.792,0.032,6.246,6.21,4700.0
0.081,142.017,0.006,211.81,-0.172,6.246,6.211,4700.0
0.082,142.032,-0.045,211.828,-0.207,6.247,6.211,4700.0
0.083,142.047,0.216,211.845,0.126,6.248,6.212,4700.0
0.084,142.062,-0.197,211.863,-0.022,6.248,6.212,4700.0
0.085,142.077,-0.129,211.881,0.007,6.249,6.213,4700.0
0.086,142.092,0.044,211.898,0.233,6.25,6.213,4700.0
0.087,142.107,0.05,211.916,-0.057,6.25,6.214,4700.0
0.088,142.122,0.119,211.934,0.0,6.251,6.214,4700.0
0.089,142.138,-0.074,211.951,-0.044,6.252,6.215,4700.0
0.09,142.153,-0.027,211.97,0.08,6.252,6.215,4700.0
0.091,142.169,-0.088,211.989,-0.019,6.253,6.216,4700.0
0.092,142.185,0.087,212.007,-0.256,6.254,6.216,4700.0
0.093,142.201,0.441,212.026,0.351,6.254,6.217,4700.0
0.094,142.217,-0.073,212.045,-0.039,6.255,6.217,4700.0
0.095,142.233,-0.507,212.064,-0.35,6.256,6.218,4700.0
0.096,142.249,-0.118,212.082,0.118,6.256,6.219,4700.0
0.097,142.265,0.184,212.101,0.139,6.257,6.219,4700.0
0.098,142.28,0.083,212.12,0.202,6.258,6.22,4700.0
0.099,142.296,0.104,212.139,0.036,6.259,6.22,4700.0
0.1,142.311,0.05,212.159,-0.016,6.259,6.221,4700.0
0.101,142.326,-0.02,212.179,-0.213,6.26,6.221,4700.0
0.102,142.341,0.068,212.2,-0.257,6.26,6.222,4700.0
0.103,142.355,-0.208,212.22,0.09,6.261,6.223,4700.0
0.104,142.37,-0.117,212.24,0.017,6.262,6.223,4700.0
0.105,142.385,0.139,212.261,0.173,6.262,6.224,4700.0
0.106,142.4,0.042,212.281,0.155,6.263,6.224,4700.0
0.107,142.414,0.143,212.302,-0.014,6.264,6.225,4700.0
0.108,142.429,-0.018,212.322,-0.08,6.264,6.226,4700.0
0.109,142.444,-0.112,212.342,0.025,6.265,6.226,4700.0
0.11,142.453,-0.06,212.358,0.168,6.265,6.227,4700.0
0.111,142.461,0.152,212.374,-0.11,6.266,6.227,4700.0
0.112,142.47,0.157,212.39,0.015,6.266,6.228,4700.0
0.113,142.479,-0.467,212.406,-0.274,6.267,6.228,4700.0
0.114,142.488,-0.049,212.422,-0.32,6.267,6.229,4700.0
0.115,142.496,0.366,212.438,0.331,6.267,6.229,4700.0
0.116,142.505,-0.008,212.454,0.053,6.268,6.229,4700.0
0.117,142.514,-0.001,212.47,0.058,6.268,6.23,4700.0
0.118,142.523,-0.12,212.486,0.287,6.268,6.23,4700.0
0.119,142.531,0.032,212.502,0.01,6.269,6.231,4700.0
0.12,142.535,0.201,212.516,-0.058,6.269,6.231,4700.0
0.121,142.539,-0.142,212.53,0.041,6.269,6.232,4700.0
0.122,142.543,-0.09,212.544,-0.051,6.269,6.232,4700.0
0.123,142.547,0.1,212.557,-0.388,6.27,6.232,4700.0
0.124,142.551,-0.077,212.571,-0.189,6.27,6.233,4700.0
0.125,142.555,-0.032,212.585,0.266,6.27,6.233,4700.0
0.126,142.559,0.128,212.599,0.177,6.27,6.234,4700.0
0.127,142.563,-0.032,212.613,-0.014,6.27,6.234,4700.0
0.128,142.567,0.001,212.627,0.028,6.27,6.235,4700.0
0.129,142.571,0.061,212.641,0.047,6.271,6.235,4700.0
0.13,142.571,-0.087,212.65,0.09,6.271,6.235,4700.0
0.131,142.571,-0.05,212.66,0.035,6.271,6.236,4700.0
0.132,142.571,0.031,212.669,-0.164,6.271,6.236,4700.0
0.133,142.571,0.167,212.679,0.051,6.271,6.236,4700.0
0.134,142.571,0.063,212.688,-0.019,6.271,6.236,4700.0
0.135,142.571,-0.316,212.698,-0.423,6.271,6.237,4700.0
0.136,142.571,-0.082,212.707,0.018,6.271,6.237,4700.0
0.137,142.571,0.168,212.717,0.384,6.271,6.237,4700.0
0.138,142.571,0.059,212.727,0.101,6.271,6.237,4700.0
0.139,142.571,0.095,212.736,0.076,6.271,6.238,4700.0
0.14,142.571,-0.052,212.746,-0.04,6.271,6.238,4700.0
0.141,142.57,0.227,212.755,0.041,6.271,6.238,4700.0
0.142,142.57,0.099,212.765,0.11,6.271,6.239,4700.0
0.143,142.57,-0.641,212.774,-0.596,6.271,6.239,4700.0
0.144,142.569,-0.129,212.784,-0.118,6.271,6.239,4700.0
0.145,142.569,0.326,212.794,0.493,6.271,6.239,4700.0
0.146,142.569,0.043,212.803,-0.137,6.271,6.24,4700.0
0.147,142.569,-0.008,212.813,-0.018,6.271,6.24,4700.0
0.148,142.568,0.174,212.822,0.17,6.27,6.24,4700.0
0.149,142.568,0.091,212.832,0.002,6.27,6.241,4700.0
0.15,142.568,-0.22,212.84,0.045,6.27,6.241,4700.0
0.151,142.568,0.196,212.847,0.15,6.27,6.241,4700.0
0.152,142.568,-0.001,212.855,-0.035,6.27,6.241,4700.0
0.153,142.569,-0.421,212.863,-0.37,6.271,6.241,4700.0
0.154,142.569,0.114,212.87,-0.091,6.271,6.242,4700.0
0.155,142.569,-0.002,212.878,-0.093,6.271,6.242,4700.0
0.156,142.569,0.038,212.886,0.096,6.271,6.242,4700.0
0.157,142.569,0.256,212.893,0.389,6.271,6.242,4700.0
0.158,142.57,-0.125,212.901,0.028,6.271,6.243,4700.0
0.159,142.57,0.062,212.909,0.085,6.271,6.243,4700.0
0.16,142.572,0.077,212.916,-0.043,6.271,6.243,4700.0
0.161,142.575,-0.234,212.924,-0.165,6.271,6.243,4700.0
0.162,142.577,0.036,212.932,-0.06,6.271,6.243,4700.0
0.163,142.58,-0.069,212.94,-0.273,6.271,6.244,4700.0
0.164,142.582,-0.148,212.947,-0.031,6.271,6.244,4700.0
0.165,142.585,0.35,212.955,0.277,6.271,6.244,4700.0
0.166,142.587,0.121,212.963,0.18,6.271,6.244,4700.0
0.167,142.59,-0.169,212.971,-0.039,6.271,6.245,4700.0
0.168,142.592,-0.04,212.978,-0.045,6.272,6.245,4700.0
0.169,142.595,-0.068,212.986,0.047,6.272,6.245,4700.0
0.17,142.596,0.062,212.991,0.022,6.272,6.245,4700.0
0.171,142.598,0.095,212.996,0.216,6.272,6.245,4700.0
